IATA,ICAO,Airport name,Country,City
AAA,NTGA,Anaa Airport,French Polynesia,
AAB,YARY,Arrabury Airport,Australia,
AAC,HEAR,El Arish International Airport,Egypt,El Arish
AAD,,Adado Airport,Somalia,Adado
AAE,DABB,Rabah Bitat Airport,Algeria,Annaba
AAF,KAAF,Apalachicola Regional Airport,United States of America,Apalachicola
AAG,SSYA,Arapoti Airport,Brazil,Arapoti
AAH,EDKA,Aachen-Merzbrück Airport,Germany,Aachen
AAI,SWRA,Arraias Airport,Brazil,Arraias
AAJ,,Cayana Airstrip,Suriname,Awaradam
AAK,NGUK,Buariki Airport,Kiribati,Buariki
AAL,EKYT,Aalborg Airport,Denmark,Aalborg
AAM,FAMD,Malamala Airport,South Africa,Malamala
AAN,OMAL,Al Ain International Airport,United Arab Emirates,Al Ain
AAO,SVAN,Anaco Airport,Venezuela,Anaco
AAQ,URKA,Anapa Vityazevo Airport,Russia,Anapa
AAR,EKAH,Aarhus Airport,Denmark,Aarhus
AAS,,Apalapsili Airport,Indonesia,Apalapsili
AAT,,Altay Air Base,China,Altay
AAU,NSAU,Asau Airport,Samoa,Asau
AAV,RPMA,Allah Valley Airport,Philippines,Surallah
AAX,SBAX,Romeu Zema Airport,Brazil,Araxá
AAY,OYGD,Al Ghaidah International Airport,Yemen,Al Ghayzah
AAZ,MGQZ,Quezaltenango Airport,Guatemala,Quezaltenango
ABA,UNAA,Abakan Airport,Russia,Abakan
ABB,DNAS,Asaba International Airport,Nigeria,Asaba
ABC,LEAB,Albacete-Los Llanos Airport,Spain,Albacete
ABD,OIAA,Abadan Airport,Iran,Abadan
ABE,KABE,Lehigh Valley International Airport,United States of America,Allentown
ABF,NGAB,Abaiang Airport,Kiribati,Abaiang
ABG,YABI,Abingdon Downs Airport,Australia,
ABH,YAPH,Alpha Airport,Australia,Alpha
ABI,KABI,Abilene Regional Airport,United States of America,Abilene
ABJ,DIAP,Port Bouet Airport,Ivory Coast,Abidjan
ABK,HAKD,Kabri Dehar Airport,Ethiopia,Kabri Dehar
ABL,PAFM,Ambler Airport,United States of America,Ambler
ABM,YBAM,Northern Peninsula Airport,Australia,Bamaga
ABN,SMBN,Albina Airport,Suriname,Albina
ABO,DIAO,Aboisso Airport,Ivory Coast,Aboisso
ABP,,Atkamba Airport,Papua New Guinea,Atkamba Mission
ABQ,KABQ,Albuquerque International Sunport,United States of America,Albuquerque
ABR,KABR,Aberdeen Regional Airport,United States of America,Aberdeen
ABS,HEBL,Abu Simbel Airport,Egypt,Abu Simbel
ABT,OEBA,Al Baha Airport,Saudi Arabia,Al Bahah
ABU,WRKA,Haliwen Airport,Indonesia,Atambua-Timor Island
ABV,DNAA,Nnamdi Azikiwe International Airport,Nigeria,Abuja
ABX,YMAY,Albury Airport,Australia,Albury
ABY,KABY,Southwest Georgia Regional Airport,United States of America,Albany
ABZ,EGPD,Aberdeen Dyce Airport,United Kingdom,Aberdeen
ACA,MMAA,General Juan N Alvarez International Airport,Mexico,Acapulco
ACB,KACB,Antrim County Airport,United States of America,Bellaire
ACC,DGAA,Kotoka International Airport,Ghana,Accra
ACD,SKAD,Alcides Fernández Airport,Colombia,Acandí
ACE,GCRR,Lanzarote Airport,Spain,Lanzarote Island
ACF,YBAF,Brisbane Archerfield Airport,Australia,Brisbane
ACH,LSZR,St Gallen Altenrhein Airport,Switzerland,Altenrhein
ACI,EGJA,Alderney Airport,Guernsey,Saint Anne
ACJ,VCCA,Anuradhapura Air Force Base,Sri Lanka,Anuradhapura
ACK,KACK,Nantucket Memorial Airport,United States of America,Nantucket
ACL,,Aguaclara Airport,Colombia,Aguaclara
ACM,,Arica Airport,Colombia,Arica
ACN,MMCC,Ciudad Acuña New International Airport,Mexico,Ciudad Acuña
ACP,OITM,Sahand Airport,Iran,Maragheh
ACR,SKAC,Araracuara Airport,Colombia,Araracuara
ACS,UNKS,Achinsk Airport,Russia,Achinsk
ACT,KACT,Waco Regional Airport,United States of America,Waco
ACU,,Achutupo Airport,Panama,Achutupo
ACV,KACV,California Redwood Coast-Humboldt County Airport,United States of America,Arcata/Eureka
ACX,ZUYI,Xingyi Airport,China,Xingyi
ACY,KACY,Atlantic City International Airport,United States of America,Atlantic City
ACZ,OIZB,Zabol Airport,Iran,Zabol
ADA,LTAF,Adana Airport,Turkey,Adana
ADB,LTBJ,Adnan Menderes International Airport,Turkey,İzmir
ADC,,Andakombe Airport,Papua New Guinea,Andekombe
ADD,HAAB,Addis Ababa Bole International Airport,Ethiopia,Addis Ababa
ADE,OYAA,Aden International Airport,Yemen,Aden
ADF,LTCP,Adıyaman Airport,Turkey,Adıyaman
ADG,KADG,Lenawee County Airport,United States of America,Adrian
ADH,UEEA,Aldan Airport,Russia,Aldan
ADI,FYAR,Arandis Airport,Namibia,Arandis
ADJ,OJAM,Amman-Marka International Airport,Jordan,Amman
ADK,PADK,Adak Airport,United States of America,Adak Island
ADL,YPAD,Adelaide International Airport,Australia,Adelaide
ADM,KADM,Ardmore Municipal Airport,United States of America,Ardmore
ADN,SKAN,Andes Airport,Colombia,Andes
ADO,YAMK,Andamooka Airport,Australia,Roxby Downs
ADP,VCCG,Ampara Airport,Sri Lanka,Ampara
ADQ,PADQ,Kodiak Airport,United States of America,Kodiak
ADR,KPHH,Robert F Swinnie Airport,United States of America,Andrews
ADS,KADS,Addison Airport,United States of America,Dallas
ADT,KADH,Ada Regional Airport,United States of America,Ada
ADU,OITL,Ardabil Airport,Iran,Ardabil
ADV,,El Daein Airport,Sudan,El Daein
ADW,KADW,Joint Base Andrews,United States of America,Camp Springs
ADX,EGQL,RAF Leuchars,United Kingdom,St. Andrews
ADY,FAAL,Alldays Airport,South Africa,Alldays
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,Colombia,San Andrés
AEA,NGTB,Abemama Atoll Airport,Kiribati,Abemama Atoll
AEB,,Baise Youjiang Airport,China,Baise
AEE,,Adareil Airport,South Sudan,
AEG,WIME,Aek Godang Airport,Indonesia,Padang Sidempuan-Sumatra Island
AEH,FTTC,Abeche Airport,Chad,Abéché
AEK,,Aseki Airport,Papua New Guinea,Aseki
AEL,KAEL,Albert Lea Municipal Airport,United States of America,Albert Lea
AEM,UHTG,Amgu Airport,Russia,Amgu
AEO,GQNA,Aioun el Atrouss Airport,Mauritania,Aioun El Atrouss
AEP,SABE,Jorge Newbery Airpark,Argentina,Buenos Aires
AEQ,,Ar Horqin Airport,China,Chifeng
AER,URSS,Sochi International Airport,Russia,Sochi
AES,ENAL,Ålesund Airport,Norway,Ålesund
AET,PFAL,Allakaket Airport,United States of America,Allakaket
AEU,OIBA,Abu Musa Island Airport,Iran,Abu Musa
AEX,KAEX,Alexandria International Airport,United States of America,Alexandria
AEY,BIAR,Akureyri Airport,Iceland,Akureyri
AFA,SAMR,Suboficial Ay Santiago Germano Airport,Argentina,San Rafael
AFD,FAPA,Port Alfred Airport,South Africa,Port Alfred
AFF,KAFF,USAF Academy Airfield,United States of America,Colorado Springs
AFI,SKAM,Amalfi Airport,Colombia,Amalfi
AFL,SBAT,Piloto Osvaldo Marques Dias Airport,Brazil,Alta Floresta
AFN,KAFN,Jaffrey Airport Silver Ranch Airport,United States of America,Jaffrey
AFO,KAFO,Afton Municipal Airport,United States of America,Afton
AFR,,Afore Airstrip,Papua New Guinea,Popondetta
AFS,UTSN,Sugraly Airport,Uzbekistan,Zarafshan
AFT,AGAF,Afutara Aerodrome,Solomon Islands,Bila
AFW,KAFW,Fort Worth Alliance Airport,United States of America,Fort Worth
AFY,LTAH,Afyon Airport,Turkey,Afyonkarahisar
AFZ,OIMS,Sabzevar National Airport,Iran,Sabzevar
AGA,GMAD,Al Massira Airport,Morocco,Agadir
AGB,EDMA,Augsburg Airport,Germany,Augsburg
AGC,KAGC,Allegheny County Airport,United States of America,Pittsburgh
AGD,,Anggi Airport,Indonesia,Anggi-Papua Island
AGE,EDWG,Wangerooge Airport,Germany,Wangerooge
AGF,LFBA,Agen-La Garenne Airport,France,Agen/La Garenne
AGG,,Angoram Airport,Papua New Guinea,Angoram
AGH,ESTA,Ängelholm-Helsingborg Airport,Sweden,Ängelholm
AGI,SMWA,Wageningen Airstrip,Suriname,Wageningen
AGJ,RORA,Aguni Airport,Japan,Aguni
AGK,,Kagua Airport,Papua New Guinea,Kagua
AGL,,Wanigela Airport,Papua New Guinea,
AGO,KAGO,Ralph C Weiser Field,United States of America,Magnolia
AGP,LEMG,Málaga Airport,Spain,Málaga
AGR,VIAG,Agra Airport,India,Agra
AGS,KAGS,Augusta Regional At Bush Field,United States of America,Augusta
AGT,SGES,Guarani International Airport,Paraguay,Ciudad del Este
AGU,MMAS,Jesús Terán Paredo International Airport,Mexico,Aguascalientes
AGV,SVAC,Oswaldo Guevara Mujica Airport,Venezuela,Acarigua
AGW,,Agnew Airport,Australia,Agnew
AGX,VOAT,Agatti Airport,India,Kavaratti
AGY,,Argyle Downs Airport,Australia,Argyle Downs
AGZ,FAAG,Aggeneys Airport,South Africa,Aggeneys
AHB,OEAB,Abha Regional Airport,Saudi Arabia,Abha
AHC,KAHC,Amedee Army Air Field,United States of America,Herlong
AHD,,Ardmore Downtown Executive Airport,United States of America,Ardmore
AHE,NTHE,Ahe Airport,French Polynesia,Ahe Atoll
AHF,,Arapahoe Municipal Airport,United States of America,Arapahoe
AHH,KAHH,Amery Municipal Airport,United States of America,Amery
AHI,WAPA,Amahai Airport,Indonesia,Amahai-Seram Island
AHJ,,Hongyuan Airport,China,Aba
AHL,SYAH,Aishalton Airport,Guyana,Aishalton
AHM,,Ashland Municipal Sumner Parker Field,United States of America,Ashland
AHN,KAHN,Athens Ben Epps Airport,United States of America,Athens
AHO,LIEA,Alghero-Fertilia Airport,Italy,Alghero
AHS,MHAH,Ahuas Airport,Honduras,Ahuas
AHU,GMTA,Cherif Al Idrissi Airport,Morocco,Al Hoceima
AHY,,Ambatolhy Airport,Madagascar,Ambatolahy
AHZ,LFHU,Altiport L'Alpe d'Huez - Henri GIRAUD,France,L'Alpe d'Huez
AIA,KAIA,Alliance Municipal Airport,United States of America,Alliance
AIC,,Ailinglaplap Airok Airport,Marshall Islands,Bigatyelang Island
AID,KAID,Anderson Municipal Darlington Field,United States of America,Anderson
AIE,,Aiome Airport,Papua New Guinea,Aiome
AIF,SNAX,Marcelo Pires Halzhausen Airport,Brazil,Assis
AIG,FEFY,Yalinga Airport,Central African Republic,Yalinga
AIH,,Aiambak Airport,Papua New Guinea,Aiambak
AII,HDAS,Ali-Sabieh Airport,Djibouti,Ali-Sabieh
AIK,KAIK,Aiken Regional Airport,United States of America,Aiken
AIL,,Alligandi Airport,Panama,Alligandi
AIM,,Ailuk Airport,Marshall Islands,Ailuk Island
AIN,PAWI,Wainwright Airport,United States of America,Wainwright
AIO,KAIO,Atlantic Municipal Airport,United States of America,Atlantic
AIP,VIAX,Adampur Airport,India,Adampur
AIR,SWRP,Aripuanã Airport,Brazil,Aripuanã
AIS,NGTR,Arorae Island Airport,Kiribati,Arorae Island
AIT,NCAI,Aitutaki Airport,Cook Islands,Aitutaki
AIU,NCAT,Enua Airport,Cook Islands,Atiu Island
AIV,KAIV,George Downer Airport,United States of America,Aliceville
AIW,FYAA,Ai-Ais Airport,Namibia,Ai-Ais
AIZ,KAIZ,Lee C Fine Memorial Airport,United States of America,Kaiser Lake Ozark
AJA,LFKJ,Ajaccio-Napoléon Bonaparte Airport,France,Ajaccio/Napoléon Bonaparte
AJF,OESK,Al-Jawf Domestic Airport,Saudi Arabia,Al-Jawf
AJI,LTCO,Ağrı Airport,Turkey,Hamur
AJJ,GQNJ,Akjoujt Airport,Mauritania,Akjoujt
AJK,OIHR,Arak Airport,Iran,Araak
AJL,VELP,Lengpui Airport,India,Aizawl
AJN,FMCV,Ouani Airport,Comoros,Ouani
AJR,ESNX,Arvidsjaur Airport,Sweden,Arvidsjaur
AJS,,Abreojos Airport,Mexico,Abreojos
AJU,SBAR,Santa Maria Airport,Brazil,Aracaju
AJY,DRZA,Mano Dayak International Airport,Niger,Agadez
AKA,ZLAK,Ankang Wulipu Airport,China,Ankang
AKB,PAAK,Atka Airport,United States of America,Atka
AKC,KAKR,Akron Fulton International Airport,United States of America,Akron
AKD,VAAK,Akola Airport,India,Akola
AKE,,Akieni Airport,Gabon,Akieni
AKF,HLKF,Kufra Airport,Libya,Kufra
AKG,,Anguganak Airport,Papua New Guinea,Anguganak
AKH,OEPS,Prince Sultan Air Base,Saudi Arabia,Ad Dilam
AKI,PFAK,Akiak Airport,United States of America,Akiak
AKJ,RJEC,Asahikawa Airport,Japan,Asahikawa / Hokkaidō
AKK,PAKH,Akhiok Airport,United States of America,Akhiok
AKL,NZAA,Auckland International Airport,New Zealand,Auckland
AKM,,Zakuoma Airport,Chad,ZaKouma
AKN,PAKN,King Salmon Airport,United States of America,King Salmon
AKO,KAKO,Colorado Plains Regional Airport,United States of America,Akron
AKP,PAKP,Anaktuvuk Pass Airport,United States of America,Anaktuvuk Pass
AKQ,,Gunung Batin Airport,Indonesia,Astraksetra-Sumatra Island
AKR,DNAK,Akure Airport,Nigeria,Akure
AKS,AGGA,Gwaunaru'u Airport,Solomon Islands,Auki
AKU,ZWAK,Aksu Airport,China,Aksu
AKV,CYKO,Akulivik Airport,Canada,Akulivik
AKW,OIAG,Aghajari Airport,Iran,Aghajari
AKX,UATT,Aktobe Airport,Kazakhstan,Aktyubinsk
AKY,VYSW,Sittwe Airport,Myanmar,Sittwe
ALA,UAAA,Almaty Airport,Kazakhstan,Almaty
ALB,KALB,Albany International Airport,United States of America,Albany
ALC,LEAL,Alicante International Airport,Spain,Alicante
ALD,SPAR,Alerta Airport,Peru,Fortaleza
ALE,,Alpine Casparis Municipal Airport,United States of America,Alpine
ALF,ENAT,Alta Airport,Norway,Alta
ALG,DAAG,Houari Boumediene Airport,Algeria,Algiers
ALH,YABA,Albany Airport,Australia,Albany
ALI,KALI,Alice International Airport,United States of America,Alice
ALJ,FAAB,Alexander Bay Airport,South Africa,Alexander Bay
ALL,LIMG,Villanova D'Albenga International Airport,Italy,Albenga (SV)
ALM,KALM,Alamogordo White Sands Regional Airport,United States of America,Alamogordo
ALN,KALN,St Louis Regional Airport,United States of America,Alton/St Louis
ALO,KALO,Waterloo Regional Airport,United States of America,Waterloo
ALP,OSAP,Aleppo International Airport,Syria,Aleppo
ALQ,SSLT,Alegrete Novo Airport,Brazil,Alegrete
ALR,NZLX,Alexandra Airport,New Zealand,Alexandra
ALS,KALS,San Luis Valley Regional Bergman Field,United States of America,Alamosa
ALT,,Alenquer Airport,Brazil,Alenquer
ALU,HCMA,Alula Airport,Somalia,Alula
ALW,KALW,Walla Walla Regional Airport,United States of America,Walla Walla
ALX,KALX,Thomas C Russell Field,United States of America,Alexander City
ALY,HEAX,El Nouzha Airport,Egypt,Alexandria
AMA,KAMA,Rick Husband Amarillo International Airport,United States of America,Amarillo
AMB,FMNE,Ambilobe Airport,Madagascar,Ambilobe
AMC,FTTN,Am Timan Airport,Chad,Am Timan
AMD,VAAH,Sardar Vallabhbhai Patel International Airport,India,Ahmedabad
AME,,Alto Molocue Airport,Mozambique,Alto Molocue
AMF,,Ama Airport,Papua New Guinea,
AMH,HAAM,Arba Minch Airport,Ethiopia,Arba Minch'
AMI,WADA,Selaparang Airport,Indonesia,Mataram-Lombok Island
AMJ,SNAR,Cirilo Queiróz Airport,Brazil,Almenara
AMK,,Animas Air Park,United States of America,Durango
AMM,OJAI,Queen Alia International Airport,Jordan,Amman
AMN,KAMN,Gratiot Community Airport,United States of America,Alma
AMO,FTTU,Mao Airport,Chad,Mao
AMP,FMSY,Ampanihy Airport,Madagascar,Ampanihy
AMQ,WAPP,"Pattimura Airport, Ambon",Indonesia,Ambon
AMS,EHAM,Amsterdam Airport Schiphol,Netherlands,Amsterdam
AMT,YAMT,Amata Airport,Australia,
AMU,,Amanab Airport,Papua New Guinea,Amanab
AMV,ULDD,Amderma Airport,Russia,Amderma
AMW,KAMW,Ames Municipal Airport,United States of America,Ames
AMX,YAMM,Ammaroo Airport,Australia,
AMY,,Ambatomainty Airport,Madagascar,Mahabe
AMZ,NZAR,Ardmore Airport,New Zealand,Manurewa
ANA,,Angama Airport,Kenya,Maasai Mara
ANB,KANB,Anniston Regional Airport,United States of America,Anniston
ANC,PANC,Ted Stevens Anchorage International Airport,United States of America,Anchorage
AND,KAND,Anderson Regional Airport,United States of America,Anderson
ANE,LFJR,Angers-Loire Airport,France,Angers/Marcé
ANF,SCFA,Andrés Sabella Gálvez International Airport,Chile,Antofagasta
ANG,LFBU,Angoulême-Brie-Champniers Airport,France,Angoulême/Brie/Champniers
ANI,PANI,Aniak Airport,United States of America,Aniak
ANJ,FCBZ,Zanaga Airport,Republic of the Congo,Zanaga
ANK,LTAD,Etimesgut Air Base,Turkey,Ankara
ANL,,Andulo Airport,Angola,
ANM,FMNH,Antsirabato Airport,Madagascar,Antalaha
ANN,PANT,Annette Island Airport,United States of America,Annette
ANO,FQAG,Angoche Airport,Mozambique,Angoche
ANP,KANP,Lee Airport,United States of America,Annapolis
ANQ,KANQ,Tri State Steuben County Airport,United States of America,Angola
ANR,EBAW,Antwerp International Airport (Deurne),Belgium,Antwerp
ANS,SPHY,Andahuaylas Airport,Peru,Andahuaylas
ANU,TAPA,V.C. Bird International Airport,Antigua and Barbuda,St. John's
ANV,PANV,Anvik Airport,United States of America,Anvik
ANW,KANW,Ainsworth Regional Airport,United States of America,Ainsworth
ANX,ENAN,Andøya Airport,Norway,Andenes
ANY,KANY,Anthony Municipal Airport,United States of America,Anthony
ANZ,,Angus Downs Airport,Australia,Angus Downs Station
AOB,,Annanberg Airport,Papua New Guinea,
AOC,EDAC,Altenburg-Nobitz Airport,Germany,Altenburg
AOD,,Abou-Deïa Airport,Chad,Abou-Deïa
AOE,LTBY,Anadolu Airport,Turkey,Eskişehir
AOG,ZYAS,Anshan Air Base,China,Anshan
AOH,KAOH,Lima Allen County Airport,United States of America,Lima
AOI,LIPY,Ancona Falconara Airport,Italy,Ancona
AOJ,RJSA,Aomori Airport,Japan,Aomori
AOK,LGKP,Karpathos Airport,Greece,Karpathos Island
AOL,SARL,Paso De Los Libres Airport,Argentina,Paso de los Libres
AOM,,Adam Airport,Oman,Adam
AOO,KAOO,Altoona Blair County Airport,United States of America,Altoona
AOP,SPAS,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Peru,Andoas
AOR,WMKA,Sultan Abdul Halim Airport,Malaysia,Alor Satar
AOT,LIMW,Aosta Airport,Italy,Aosta
AOU,VLAP,Attopeu Airport,Laos,Attopeu
APA,KAPA,Centennial Airport,United States of America,Denver
APB,SLAP,Apolo Airport,Bolivia,Apolo
APC,KAPC,Napa County Airport,United States of America,Napa
APE,SPAO,San Juan Aposento Airport,Peru,San Juan Aposento
APF,KAPF,Naples Municipal Airport,United States of America,Naples
APG,KAPG,Phillips Army Air Field,United States of America,Aberdeen Proving Grounds(Aberdeen)
APH,KAPH,A P Hill AAF (Fort A P Hill) Airport,United States of America,Fort A. P. Hill
API,SKAP,Gomez Nino Apiay Air Base,Colombia,Apiay
APK,NTGD,Apataki Airport,French Polynesia,Apataki
APL,FQNP,Nampula Airport,Mozambique,Nampula
APN,KAPN,Alpena County Regional Airport,United States of America,Alpena
APO,SKLC,Antonio Roldan Betancourt Airport,Colombia,Carepa
APP,,Asapa Airport,Papua New Guinea,Popondetta
APQ,SNAL,Arapiraca Airport,Brazil,Arapiraca
APR,,April River Airport,Papua New Guinea,April River
APS,SWNS,Anápolis Airport,Brazil,Anápolis
APT,KAPT,Marion County Brown Field,United States of America,Jasper
APU,SSAP,Captain João Busse Airport,Brazil,Apucarana
APV,KAPV,Apple Valley Airport,United States of America,Apple Valley
APW,NSFA,Faleolo International Airport,Samoa,Apia
APX,SSOG,Arapongas Airport,Brazil,Arapongas
APY,SNAI,Alto Parnaíba Airport,Brazil,Alto Parnaíba
APZ,SAHZ,Zapala Airport,Argentina,Zapala
AQA,SBAQ,Araraquara Airport,Brazil,Araraquara
AQB,MGQC,Santa Cruz del Quiche Airport,Guatemala,Santa Cruz del Quiche
AQG,ZSAQ,Anqing Tianzhushan Airport,China,Anqing
AQI,OEPA,Al Qaisumah/Hafr Al Batin Airport,Saudi Arabia,Qaisumah
AQJ,OJAQ,Aqaba King Hussein International Airport,Jordan,Aqaba
AQM,SWNI,Nova Vida Airport,Brazil,Ariquemes
AQP,SPQU,Rodríguez Ballón International Airport,Peru,Arequipa
AQY,,Girdwood Airport,United States of America,Girdwood
ARA,KARA,Acadiana Regional Airport,United States of America,New Iberia
ARB,KARB,Ann Arbor Municipal Airport,United States of America,Ann Arbor
ARC,PARC,Arctic Village Airport,United States of America,Arctic Village
ARD,WATM,Mali Airport,Indonesia,Alor Island
ARE,TJAB,Antonio Nery Juarbe Pol Airport,Puerto Rico,Arecibo
ARF,,Acaricuara Airport,Colombia,Acaricuara
ARG,KARG,Walnut Ridge Regional Airport,United States of America,Walnut Ridge
ARH,ULAA,Talagi Airport,Russia,Archangelsk
ARI,SCAR,Chacalluta Airport,Chile,Arica
ARJ,WAJA,Arso Airport,Indonesia,Arso-Papua Island
ARK,HTAR,Arusha Airport,Tanzania,Arusha
ARL,DFER,Arly Airport,Burkina Faso,Arly
ARM,YARM,Armidale Airport,Australia,Armidale
ARN,ESSA,Stockholm-Arlanda Airport,Sweden,Stockholm
ARO,,Arboletes Airport,Colombia,Arboletes
ARP,,Aragip Airport,Papua New Guinea,
ARQ,,El Troncal Airport,Colombia,Arauquita
ARR,SAVR,D. Casimiro Szlapelis Airport,Argentina,Alto Rio Senguerr
ARS,SJVO,Aragarças Airport,Brazil,Aragarças
ART,KART,Watertown International Airport,United States of America,Watertown
ARU,SBAU,Araçatuba Airport,Brazil,Araçatuba
ARV,KARV,Lakeland-Noble F. Lee Memorial field,United States of America,Minocqua-Woodruff
ARW,LRAR,Arad International Airport,Romania,Arad
ARY,YARA,Ararat Airport,Australia,Ararat
ARZ,FNZE,N'zeto Airport,Angola,N'zeto
ASA,HHSB,Assab International Airport,Eritrea,Asab
ASB,UTAA,Ashgabat International Airport,Turkmenistan,Ashgabat
ASC,SLAS,Ascención De Guarayos Airport,Bolivia,Ascensión de Guarayos
ASD,MYAF,Andros Town Airport,Bahamas,Andros Town
ASE,KASE,Aspen-Pitkin Co/Sardy Field,United States of America,Aspen
ASF,URWA,Astrakhan Airport,Russia,Astrakhan
ASG,NZAS,Ashburton Aerodrome,New Zealand,Ashburton
ASH,KASH,Boire Field,United States of America,Nashua
ASI,FHAW,RAF Ascension Island,"Saint Helena, Ascension and Tristan da Cunha",Ascension Island
ASJ,RJKA,Amami Airport,Japan,Amami
ASK,DIYO,Yamoussoukro Airport,Ivory Coast,Yamoussoukro
ASL,KASL,Harrison County Airport,United States of America,Marshall
ASM,HHAS,Asmara International Airport,Eritrea,Asmara
ASN,KASN,Talladega Municipal Airport,United States of America,Talladega
ASO,HASO,Asosa Airport,Ethiopia,Asosa
ASP,YBAS,Alice Springs Airport,Australia,Alice Springs
ASQ,,Austin Airport,United States of America,Austin
ASR,LTAU,Kayseri Erkilet Airport,Turkey,Kayseri
ASS,FACC,Arathusa Safari Lodge Airport,South Africa,Arathusa
AST,KAST,Astoria Regional Airport,United States of America,Astoria
ASU,SGAS,Silvio Pettirossi International Airport,Paraguay,Asunción
ASV,HKAM,Amboseli Airport,Kenya,Amboseli National Park
ASW,HESN,Aswan International Airport,Egypt,Aswan
ASX,KASX,John F Kennedy Memorial Airport,United States of America,Ashland
ASY,KASY,Ashley Municipal Airport,United States of America,Ashley
ASZ,,Asirim Airport,Papua New Guinea,Kimbe
ATA,SPHZ,Comandante FAP German Arias Graziani Airport,Peru,Anta
ATB,HSAT,Atbara Airport,Sudan,Atbara
ATC,MYCA,Arthur's Town Airport,Bahamas,Arthur's Town
ATD,AGAT,Uru Harbour Airport,Solomon Islands,Atoifi
ATE,,Antlers Municipal Airport,United States of America,Antlers
ATF,SEAM,Chachoán Airport,Ecuador,Ambato
ATG,OPMS,Minhas Air Base,Pakistan,Kamra
ATH,LGAV,Eleftherios Venizelos International Airport,Greece,Athens
ATI,SUAG,Artigas International Airport,Uruguay,Artigas
ATJ,FMME,Antsirabe Airport,Madagascar,Antsirabe
ATK,PATQ,Atqasuk Edward Burnell Sr Memorial Airport,United States of America,Atqasuk
ATL,KATL,Hartsfield Jackson Atlanta International Airport,United States of America,Atlanta
ATM,SBHT,Altamira Airport,Brazil,Altamira
ATN,,Namatanai Airport,Papua New Guinea,Namatanai
ATO,KUNI,Ohio University Snyder Field,United States of America,Athens/Albany
ATP,,Aitape Airport,Papua New Guinea,Aitape
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport,India,Amritsar
ATR,GQPA,Atar International Airport,Mauritania,Atar
ATS,KATS,Artesia Municipal Airport,United States of America,Artesia
ATT,,Atmautluak Airport,United States of America,Atmautluak
ATV,FTTI,Ati Airport,Chad,Ati
ATW,KATW,Appleton International Airport,United States of America,Appleton
ATX,,Atbasar Airport,Kazakhstan,Atbasar
ATY,KATY,Watertown Regional Airport,United States of America,Watertown
ATZ,HEAT,Assiut International Airport,Egypt,Assiut
AUA,TNCA,Queen Beatrix International Airport,Aruba,Oranjestad
AUC,SKUC,Santiago Perez Airport,Colombia,Arauca
AUD,YAGD,Augustus Downs Airport,Australia,
AUE,,Abu Rudeis Airport,Egypt,Abu Rudeis
AUF,LFLA,Auxerre-Branches Airport,France,Auxerre/Branches
AUG,KAUG,Augusta State Airport,United States of America,Augusta
AUH,OMAA,Abu Dhabi International Airport,United Arab Emirates,Abu Dhabi
AUI,,Aua Island Airport,Papua New Guinea,Aua Island
AUJ,,Ambunti Airport,Papua New Guinea,Ambunti
AUK,PAUK,Alakanuk Airport,United States of America,Alakanuk
AUL,,Aur Island Airport,Marshall Islands,Aur Atoll
AUM,KAUM,Austin Municipal Airport,United States of America,Austin
AUN,KAUN,Auburn Municipal Airport,United States of America,Auburn
AUO,KAUO,Auburn University Regional Airport,United States of America,Auburn
AUP,,Agaun Airport,Papua New Guinea,
AUQ,NTMN,Hiva Oa-Atuona Airport,French Polynesia,Hiva Oa Island
AUR,LFLW,Aurillac Airport,France,Aurillac
AUS,KAUS,Austin Bergstrom International Airport,United States of America,Austin
AUT,WPAT,Atauro Airport,East Timor,Atauro
AUU,YAUR,Aurukun Airport,Australia,Aurukun
AUV,,Aumo Airport,Papua New Guinea,Aumo
AUW,KAUW,Wausau Downtown Airport,United States of America,Wausau
AUX,SWGN,Araguaína Airport,Brazil,Araguaína
AUY,NVVA,Aneityum Airport,Vanuatu,Anatom Island
AUZ,KARR,Aurora Municipal Airport,United States of America,Chicago/Aurora
AVA,ZUAS,Anshun Huangguoshu Airport,China,Anshun
AVB,LIPA,Aviano Air Base,Italy,Aviano (PN)
AVG,YAUV,Auvergne Airport,Australia,
AVI,MUCA,Maximo Gomez Airport,Cuba,Ciego de Avila
AVK,ZMAH,Arvaikheer Airport,Mongolia,Arvaikheer
AVL,KAVL,Asheville Regional Airport,United States of America,Asheville
AVN,LFMV,Avignon-Caumont Airport,France,Avignon/Caumont
AVO,KAVO,Avon Park Executive Airport,United States of America,Avon Park
AVP,KAVP,Wilkes Barre Scranton International Airport,United States of America,Wilkes-Barre/Scranton
AVR,LPAR,Alverca Air Base,Portugal,Vila Franca de Xira
AVU,AGGJ,Avu Avu Airport,Solomon Islands,Honiara
AVV,YMAV,Avalon Airport,Australia,Melbourne
AVW,KAVQ,Marana Regional Airport,United States of America,Tucson
AVX,KAVX,Catalina Airport,United States of America,Avalon
AWA,HALA,Awassa Airport,Ethiopia,Awassa
AWB,,Awaba Airport,Papua New Guinea,Awaba
AWD,NVVB,Aniwa Airport,Vanuatu,Aniwa
